availability,best_player_count,bgg_url,date,duration_min,id,max_players,min_age,min_players,name,price,url,weight
En Stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/320446/corduba-27-c,2022-06-25,180,320446,4,14,1,Corduba 27 a.C. + Promo,67.45,https://jugamosotra.com/es/juegos/7047-corduba-27-ac-promo.html,3.88
Agotado. Consultar disponibilidad,5,https://boardgamegeek.com/boardgame/302723/forgotten-waters,2022-06-25,240,302723,7,14,3,Forgotten Waters,41.95,https://jugamosotra.com/es/juegos/7059-forgotten-waters.html,2.1
Agotado. Consultar disponibilidad,3,https://boardgamegeek.com/boardgame/250458/gugng,2022-06-25,90,250458,5,12,1,Gugong: Ciudad Prohibida,29.95,https://jugamosotra.com/es/1-5-jugadores/7058-gugong-ciudad-prohibida.html,3.09
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/322739/platypus,2022-06-25,30,322739,8,8,2,Platypus,11.95,https://jugamosotra.com/es/juegos/7066-platypus.html,1
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/318983/faiyum,2022-06-25,140,318983,5,12,1,Fayún,54.95,https://jugamosotra.com/es/juegos/7065-fayun.html,3.14
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgameexpansion/330565/clinic-deluxe-edition-2nd-extension,2022-06-25,120,330565,4,14,1,Clinic: The Extension 2,35.95,https://jugamosotra.com/es/juegos/7080-clinic-the-extension-2.html,0
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/287897/bizarre-bid,2022-06-25,20,287897,8,16,3,Bizarre Bid,13.45,https://jugamosotra.com/es/juegos/7083-bizarre-bid.html,0
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/280032/fossilis,2022-06-25,60,280032,5,8,2,Fossilis: Pack Deluxe,17.95,https://jugamosotra.com/es/juegos/7088-fossilis-pack-deluxe.html,2.19
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/340646/tea-scones-and-arsenic,2022-06-25,30,340646,6,7,1,"Tea, Scones and ARSENIC",31.4,https://jugamosotra.com/es/juegos/7089-tea-scones-and-arsenic.html,1.5
En Stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/322588/origins-first-builders,2022-06-25,120,322588,4,14,1,Origins: Los Primeros Constructores,44.95,https://jugamosotra.com/es/juegos/7092-origins-los-primeros-constructores.html,3.37
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgameexpansion/341206/bonfire-trees-creatures,2022-06-25,130,341206,5,12,1,Bonfire: Árboles y Criaturas,26.95,https://jugamosotra.com/es/juegos/7104-bonfire-arboles-y-criaturas.html,4
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/174430/gloomhaven,2022-06-25,120,174430,4,14,1,GLOOMHAVEN: Círculos Olvidados,39.95,https://jugamosotra.com/es/juegos/7113-gloomhaven-circulos-olvidados.html,3.88
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/164127/carcassonne-big-box-5,2022-06-25,40,164127,8,8,2,Carcassonne Plus 2014,49.95,https://jugamosotra.com/es/juegos/7118-carcassonne-plus-2014.html,2.25
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgameexpansion/317980/paladins-west-kingdom-city-crowns,2022-06-25,120,317980,4,12,1,Paladines del Reino del Oeste: Ciudad de Coronas,24.95,https://jugamosotra.com/es/juegos/7123-paladines-del-reino-del-oeste-ciudad-de-coronas.html,4.16
En Stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/304783/hadrians-wall,2022-06-25,60,304783,6,12,1,El Muro de Adriano,49.95,https://jugamosotra.com/es/juegos/7125-el-muro-de-adriano.html,3.11
Agotado. Consultar disponibilidad,2,https://boardgamegeek.com/boardgame/307305/bullet,2022-06-25,20,307305,4,13,1,BULLET: UN SHOOT-EM-UP DE ACCIÓN,36.85,https://jugamosotra.com/es/juegos/7127-bullet-un-shoot-em-up-de-accion.html,2.05
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgameexpansion/327390/dice-hospital-community-care-kickstarter-edition,2022-06-25,90,327390,5,10,1,Dice Hospital: Cuidado Comunitario,40.45,https://jugamosotra.com/es/juegos/7129-dice-hospital-cuidado-comunitario.html,0
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgameexpansion/287220/root-clockwork-expansion,2022-06-25,90,287220,4,10,1,Root: Los Cachivaches,34.14,https://jugamosotra.com/es/juegos/6710-root-los-cachivaches.html,3.92
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/272637/root-underworld-expansion,2022-06-25,90,272637,6,10,2,Root: Los Subterráneos,43.14,https://jugamosotra.com/es/juegos/6711-root-los-subterraneos.html,3.51
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/338834/micromacro-crime-city-full-house,2022-06-25,45,338834,4,10,1,Micro Macro Crime City: Full House,26.95,https://jugamosotra.com/es/juegos/6715-micro-macro-crime-city-full-house.html,1.23
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/333539/siege-runedar,2022-06-25,90,333539,4,10,1,The Siege of Runedar + Promo,49.95,https://jugamosotra.com/es/juegos/6717-the-siege-of-runedar-promo.html,2.33
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/143693/glass-road,2022-06-25,80,143693,4,13,1,Glass Road (Castellano),37.75,https://jugamosotra.com/es/juegos/6722-glass-road.html,2.97
